ID Transaksi,Tanggal Transaksi,ID Pelanggan,Nama Pelanggan,Kategori Klien,Paket Langganan,Nilai Transaksi (IDR),Status Pembayaran,Metode Pembayaran,SLA Support
TRX-2026-1017,2026-01-24 13:00,CUST-107,PT Solusi Cloud Indonesia,SMB,Business Pro,12000000.0,SUCCESS,Bank Transfer (Mandiri),99.5% SLA (Dedicated Slack)
TRX-2026-1018,2026-06-10 13:00,CUST-104,PT Retail Modern Indonesia,Enterprise,Enterprise Custom,50000000.0,SUCCESS,Corporate Invoice / Net 30,99.99% SLA (Dedicated CS)
TRX-2026-1019,2026-02-21 12:00,CUST-103,CV Digital Kreatif,SMB,Business Pro,12000000.0,FAILED,Credit Card (Visa/Master),99.5% SLA (Dedicated Slack)
TRX-2026-1020,2026-06-14 14:00,CUST-115,Nusantara Healthtech,Enterprise,Enterprise Custom,50000000.0,SUCCESS,Bank Transfer (Mandiri),99.99% SLA (Dedicated CS)
TRX-2026-1021,2026-02-20 16:00,CUST-108,PT Telkom Digital Solusi,Enterprise,Enterprise Custom,35000000.0,SUCCESS,Bank Transfer (Mandiri),99.99% SLA (Dedicated CS)
TRX-2026-1022,2026-06-25 10:00,CUST-113,PT Retail Modern Indonesia,Enterprise,Enterprise Custom,50000000.0,PENDING,Bank Transfer (BCA),99.99% SLA (Dedicated CS)
TRX-2026-1023,2026-04-24 14:00,CUST-110,DataAI Analytics,Startup,Starter Developer,2500000.0,PENDING,Credit Card (Visa/Master),Standard (24/7 Bot)
TRX-2026-1024,2026-06-06 08:00,CUST-111,Aplikasi Anak Bangsa,Startup,Starter Developer,2500000.0,SUCCESS,Credit Card (Visa/Master),Standard (24/7 Bot)
TRX-2026-1025,2026-06-29 13:00,CUST-102,PT Solusi Cloud Indonesia,SMB,Business Pro,12000000.0,SUCCESS,Bank Transfer (Mandiri),99.5% SLA (Dedicated Slack)
TRX-2026-1026,2026-05-12 08:00,CUST-112,PT Logistik Pintar,SMB,Business Pro,12000000.0,FAILED,Credit Card (Visa/Master),99.5% SLA (Dedicated Slack)
TRX-2026-1027,2026-05-24 10:00,CUST-109,PT Logistik Pintar,SMB,Business Pro,12000000.0,SUCCESS,Credit Card (Visa/Master),99.5% SLA (Dedicated Slack)
TRX-2026-1028,2026-06-28 16:00,CUST-110,CV Digital Kreatif,SMB,Business Pro,12000000.0,SUCCESS,Credit Card (Visa/Master),99.5% SLA (Dedicated Slack)
TRX-2026-1029,2026-02-26 16:00,CUST-113,PT Logistik Pintar,SMB,Business Pro,12000000.0,PENDING,Bank Transfer (BCA),99.5% SLA (Dedicated Slack)
TRX-2026-1030,2026-06-18 13:00,CUST-108,PT Bank Mandiri Fintech,Enterprise,Enterprise Custom,35000000.0,SUCCESS,Credit Card (Visa/Master),99.99% SLA (Dedicated CS)
TRX-2026-1031,2026-03-18 08:00,CUST-104,PT Logistik Pintar,SMB,Business Pro,12000000.0,PENDING,Bank Transfer (BCA),99.5% SLA (Dedicated Slack)
TRX-2026-1032,2026-02-06 15:00,CUST-114,PT Telkom Digital Solusi,Enterprise,Enterprise Custom,75000000.0,SUCCESS,Bank Transfer (Mandiri),99.99% SLA (Dedicated CS)
TRX-2026-1033,2026-07-03 15:00,CUST-109,Bukalapak Labs,Enterprise,Enterprise Custom,50000000.0,PENDING,Corporate Invoice / Net 30,99.99% SLA (Dedicated CS)
TRX-2026-1034,2026-03-11 16:00,CUST-113,Aplikasi Anak Bangsa,Startup,Starter Developer,2500000.0,FAILED,Bank Transfer (Mandiri),Standard (24/7 Bot)
TRX-2026-1035,2026-04-05 14:00,CUST-111,PT Retail Modern Indonesia,Enterprise,Enterprise Custom,50000000.0,SUCCESS,Corporate Invoice / Net 30,99.99% SLA (Dedicated CS)
